ano,mes,taxa_homicidio_doloso,taxa_latrocinio,taxa_lesao_corporal_morte,taxa_crimes_violentos_letais_intencionais,taxa_homicidio_intervencao_policial,taxa_letalidade_violenta,taxa_homicidio_culposo,taxa_roubo_transeunte,taxa_roubo_celular,taxa_roubo_corporal_coletivo,taxa_roubo_rua,taxa_roubo_veiculo,taxa_roubo_carga,taxa_roubo_comercio,taxa_roubo_residencia,taxa_roubo_banco,taxa_roubo_caixa_eletronico,taxa_roubo_conducao_saque,taxa_roubo_apos_saque,taxa_roubo_bicicleta,taxa_outros_roubos,taxa_total_roubos,taxa_furto_veiculos,taxa_furto_transeunte,taxa_furto_coletivo,taxa_furto_celular,taxa_furto_bicicleta,taxa_outros_furtos,taxa_total_furtos,taxa_policial_militar_morto_servico,taxa_policial_civil_morto_servico,taxa_registro_ocorrencia,data_referencia,UF
2003,10,329,11,1,341,89,43,126,981,86,232,2074,7788,244,379,96,0,1,18,163,,1878,6673,1046,464,21,434,,4561,6526,,,30443,"01/10/2003","RJ"
2003,3,417,11,3,432,77,508,128,1046,668,465,2179,8599,211,436,121,5,1,22,129,,1696,679,1248,642,37,44,,5104,7471,,,30913,"01/03/2003","RJ"
2003,7,355,11,5,372,67,439,132,94,686,287,1912,739,218,514,117,3,0,15,187,,1691,637,1124,491,24,386,,4442,6468,,,30092,"01/07/2003","RJ"
2004,1,389,8,3,4,52,452,126,932,878,216,2026,7633,197,31,114,1,3,18,154,,1934,6556,1176,544,23,534,,4664,694,,,30493,"01/01/2004","RJ"
2004,3,356,11,1,368,55,423,125,1029,937,307,2273,7873,261,367,121,3,0,13,19,,1984,7082,1142,501,32,541,,4957,7173,,,32014,"01/03/2004","RJ"
2004,8,347,9,4,36,6,42,159,1296,532,379,2208,6971,203,303,89,1,0,1,146,,102,564,1035,5,151,599,,4133,6418,,,31312,"01/08/2004","RJ"
2004,7,337,1,1,348,46,394,154,1175,713,391,228,7989,245,381,108,3,0,13,161,,122,6311,1079,517,118,521,,406,6294,,,30054,"01/07/2004","RJ"
2004,5,407,12,3,423,69,492,136,1138,939,258,2336,8626,323,378,1,3,0,7,152,,129,6647,1194,453,4,49,,4512,6689,,,31153,"01/05/2004","RJ"
2005,3,452,17,1,47,62,532,165,1904,366,537,2807,8352,293,307,111,1,7,13,115,,1073,675,1199,624,225,855,,4378,7282,,,33226,"01/03/2005","RJ"
2005,12,305,12,3,321,51,371,158,2205,371,497,3073,693,326,257,108,0,4,11,89,,528,6112,1188,977,281,921,,3728,7095,,,32588,"01/12/2005","RJ"
2005,9,351,8,3,362,73,435,148,2008,371,506,2885,7068,225,242,96,0,5,12,84,,535,582,1135,665,226,823,,3268,6118,,,31043,"01/09/2005","RJ"
2005,8,371,12,4,386,78,465,131,2145,462,516,3123,661,264,268,122,1,5,12,101,,941,6456,1131,717,287,903,,4499,7536,,,33284,"01/08/2005","RJ"
2005,4,348,1,2,36,44,404,157,1787,39,564,274,8313,236,29,88,2,1,13,105,,1058,6552,1169,605,23,786,,409,688,,,32448,"01/04/2005","RJ"
2005,10,331,1,3,344,69,413,156,2261,422,507,3191,7424,205,266,91,0,4,7,92,,54,6224,1172,77,251,96,,3442,6595,,,33001,"01/10/2005","RJ"
2005,6,322,11,3,337,77,413,162,1993,412,545,2951,683,262,279,95,1,7,1,98,,903,6272,1187,684,232,79,,4177,7071,,,32446,"01/06/2005","RJ"
2006,2,342,13,3,357,46,403,119,2195,348,477,302,7484,253,286,101,3,3,7,67,,611,6213,1186,135,237,989,,3721,7483,,,32776,"01/02/2006","RJ"
2006,10,359,8,1,369,57,426,128,2733,443,59,3766,7526,257,238,98,1,7,1,109,,931,7332,1302,979,317,1091,,4687,8376,,,33821,"01/10/2006","RJ"
2006,11,343,1,5,358,57,415,148,27,418,563,3681,7323,276,268,89,3,5,1,119,,885,7203,1193,1027,325,107,,476,8374,,,32936,"01/11/2006","RJ"
2006,8,307,9,4,32,81,401,158,2583,492,577,3651,6868,255,248,105,2,4,14,117,,537,667,1267,1061,327,1178,,4028,7861,,,34258,"01/08/2006","RJ"
2006,3,398,15,4,417,6,477,157,2293,373,504,317,8109,242,278,97,3,2,14,93,,543,6464,1204,935,234,93,,3874,7177,,,33445,"01/03/2006","RJ"
2006,4,379,2,2,401,66,467,139,2624,454,613,3692,8111,243,307,105,2,6,6,99,,645,7132,1239,926,288,1008,,3803,7263,,,32889,"01/04/2006","RJ"
2006,1,315,8,3,326,43,369,139,2245,368,543,3157,7033,226,222,95,2,5,7,74,,56,6094,1204,959,244,1076,,39,7384,,,33783,"01/01/2006","RJ"
2007,1,342,5,5,351,76,427,118,2773,394,545,3713,7189,269,214,85,1,3,11,103,,873,7117,1276,1205,267,1196,,4805,8749,,,33458,"01/01/2007","RJ"
2007,6,288,11,2,301,7,371,156,3285,419,562,4266,6298,243,261,86,1,1,7,124,,796,7432,115,1223,393,887,,4508,8161,,,33291,"01/06/2007","RJ"
2007,5,302,11,2,315,89,403,157,3386,444,621,4451,6915,254,28,91,2,1,8,138,,84,7866,1179,1284,415,1066,,4721,8664,,,34656,"01/05/2007","RJ"
2007,11,34,11,2,353,71,424,129,3366,374,491,4232,6022,247,239,84,1,4,5,122,,743,7286,1163,1249,375,903,,4745,8434,,,33304,"01/11/2007","RJ"
2007,3,415,14,5,434,72,506,151,3152,447,646,4245,8398,328,254,103,3,2,7,112,,1002,8227,1238,1168,33,1005,,4929,867,,,36949,"01/03/2007","RJ"
2007,9,288,1,1,299,81,38,193,3352,45,538,434,5781,211,228,79,1,2,14,128,,789,7324,118,1207,357,958,,4609,8311,,,33966,"01/09/2007","RJ"
2007,10,313,15,1,329,73,401,166,3528,434,545,4508,5959,209,255,97,2,5,6,138,,809,7615,1171,1362,39,1009,,4903,8835,,,35637,"01/10/2007","RJ"
2007,12,358,15,4,376,51,428,176,3442,394,521,4358,6011,249,255,84,1,1,1,103,,857,7533,1082,153,41,1028,,4774,8826,,,3429,"01/12/2007","RJ"
2008,3,338,13,1,353,9,443,165,3449,448,589,4487,5661,176,27,83,2,3,12,118,,742,7432,1183,1241,412,1021,,4814,8671,,,35209,"01/03/2008","RJ"
2008,2,324,13,3,341,7,411,117,352,437,537,4494,5687,153,268,8,1,4,1,1,,811,7462,1127,1832,388,1136,,488,9364,,,33825,"01/02/2008","RJ"
2008,8,275,11,6,292,19,312,162,3578,458,501,4537,5288,151,242,82,6,3,11,159,,839,7503,121,1432,435,1104,,4774,8955,,,34887,"01/08/2008","RJ"
2008,4,304,8,3,315,94,41,141,3549,404,592,4544,5116,172,244,63,1,4,6,119,,74,7291,1132,1199,387,1051,,479,8559,,,34021,"01/04/2008","RJ"
2008,10,355,15,1,371,47,418,149,3943,578,588,5109,5971,177,289,9,1,4,9,12,,845,8321,1168,1509,431,1247,,5098,9452,,,37622,"01/10/2008","RJ"
2009,10,264,13,1,278,59,337,11,3309,442,426,4178,3765,118,25,92,2,3,8,94,,582,6435,106,1538,437,1111,,4513,8658,,,33762,"01/10/2009","RJ"
2009,8,273,8,2,282,47,33,128,3511,418,471,4399,4177,144,249,73,3,1,8,97,,7,6893,1073,1436,439,1107,,4642,8698,,,34448,"01/08/2009","RJ"
2009,1,35,8,1,36,6,42,12,3906,456,527,489,5769,135,249,79,3,4,8,101,,735,784,1137,1522,401,1265,,5011,9335,,,35829,"01/01/2009","RJ"
2009,2,353,12,3,368,48,415,13,3988,419,5,4907,5285,119,242,86,2,3,8,11,,796,7777,1074,2058,405,1107,,471,9354,,,35006,"01/02/2009","RJ"
2009,6,278,7,4,289,68,356,13,3972,485,508,4964,4306,14,259,9,4,5,8,113,,682,7511,1037,1311,437,1136,,4645,8566,,,34434,"01/06/2009","RJ"
2010,12,26,7,1,268,34,302,156,2831,276,386,3493,2935,179,231,77,2,1,7,107,,52,5539,861,1864,568,1194,,4771,9258,,,3589,"01/12/2010","RJ"
2010,6,217,8,4,229,46,276,116,3184,384,419,3987,349,133,227,76,1,1,8,78,,561,6136,993,1572,511,1156,,4703,8935,,,33789,"01/06/2010","RJ"
2010,7,203,8,2,212,36,248,129,3219,369,491,4078,3403,131,233,64,1,3,6,88,,538,6184,974,1512,447,1158,,4765,8857,,,34844,"01/07/2010","RJ"
2010,10,253,1,4,268,44,312,137,3287,379,478,4144,3193,106,267,77,1,2,2,96,,577,6262,964,1486,537,1074,,4731,8793,,,3518,"01/10/2010","RJ"
2010,2,297,4,2,303,39,342,124,337,343,366,4079,3653,139,219,73,1,1,4,77,,63,6316,1049,2574,446,1248,,4964,1028,,,35386,"01/02/2010","RJ"
2010,4,271,7,1,279,64,343,136,3502,36,449,4311,3702,114,264,71,1,1,4,81,,621,6587,10,142,495,1109,,4631,8656,,,33669,"01/04/2010","RJ"
2010,5,226,7,4,238,68,306,13,3604,408,433,4445,3402,135,276,83,1,2,5,92,,604,6676,1047,1654,544,1217,,5048,9511,,,36398,"01/05/2010","RJ"
2011,3,237,6,4,246,42,288,151,324,32,386,3946,3016,14,249,8,3,0,4,101,,554,6037,841,2872,534,1376,,5125,10748,,,38868,"01/03/2011","RJ"
2011,8,23,7,1,238,11,249,14,2931,284,333,3548,3116,157,22,51,3,1,7,118,,53,5653,775,1638,571,111,,4788,8883,,,37037,"01/08/2011","RJ"
2011,12,213,8,2,223,12,236,136,2576,187,259,3022,2995,217,22,67,2,1,2,92,,557,5179,759,183,498,944,,5025,9057,,,36862,"01/12/2011","RJ"
2011,6,19,11,1,203,38,241,112,2746,276,311,3333,2764,153,23,6,1,1,4,116,,484,5275,771,1634,549,1144,,4669,8767,,,34847,"01/06/2011","RJ"
2011,5,228,6,2,236,46,282,136,2877,308,347,3532,2825,169,253,55,3,0,5,107,,503,5533,843,1668,582,1274,,5082,9449,,,36813,"01/05/2011","RJ"
2011,2,229,4,1,234,24,259,116,2949,321,366,3636,2925,146,282,5,2,1,5,115,,519,5682,763,1946,529,1257,,4945,9441,,,3597,"01/02/2011","RJ"
2012,11,2,5,1,206,23,229,127,2395,192,222,2809,3018,177,245,59,1,1,2,93,,549,4997,837,1446,469,868,,4992,8611,,,34725,"01/11/2012","RJ"
2012,10,193,11,0,204,19,223,138,2477,215,215,2907,3093,194,258,55,1,1,6,96,,509,5109,85,1541,555,983,,5125,9053,,,38141,"01/10/2012","RJ"
2012,1,203,7,1,212,23,236,125,2532,224,258,3013,3008,185,237,64,2,1,2,95,,601,521,857,1985,53,994,,5025,939,,,36209,"01/01/2012","RJ"
2012,6,196,6,2,204,12,216,129,2495,219,261,2975,3135,177,275,63,1,3,3,74,,541,5186,78,1466,52,901,,4853,852,,,35357,"01/06/2012","RJ"
2012,12,242,5,2,249,16,265,147,2375,185,225,2785,3281,215,252,64,1,3,5,89,,537,5111,836,1744,516,902,,5313,9311,,,37914,"01/12/2012","RJ"
2013,4,255,6,5,266,23,289,89,302,245,254,3519,3726,178,321,8,2,7,4,12,,599,6167,866,1473,567,831,,5186,8922,,,38972,"01/04/2013","RJ"
2013,9,231,1,2,243,25,268,15,3111,349,386,3846,396,172,359,64,1,4,9,95,,58,6585,963,1761,541,1168,,5226,9658,,,40179,"01/09/2013","RJ"
2013,3,252,7,1,259,23,282,1,2936,224,283,3443,3866,161,327,85,0,1,9,79,,606,6092,924,1421,535,881,,5328,9089,,,39611,"01/03/2013","RJ"
2013,5,263,5,1,269,25,294,107,3177,286,336,38,3628,188,404,8,1,1,1,121,,629,6543,874,1515,565,866,,5136,8955,,,39723,"01/05/2013","RJ"
2013,6,221,1,2,234,16,249,119,2885,304,302,3491,3785,14,392,67,2,2,9,109,,58,6162,875,159,532,869,,4973,8839,,,38457,"01/06/2013","RJ"
2013,12,281,1,3,294,26,321,119,3454,266,319,4038,4737,256,403,71,1,1,7,74,,675,729,913,1638,55,786,,4991,8878,,,39987,"01/12/2013","RJ"
2013,10,23,7,2,239,23,262,112,3374,323,353,405,4366,18,333,73,1,2,5,103,,672,7029,969,1622,57,913,,5318,9392,,,41501,"01/10/2013","RJ"
2013,8,249,1,2,261,16,277,133,3256,327,383,3966,4218,177,372,78,1,2,5,97,,637,6877,946,162,57,882,,4945,8964,,,39719,"01/08/2013","RJ"
2013,7,184,7,1,192,22,214,108,3033,287,32,3639,3765,156,382,86,2,2,7,98,,604,6346,917,1989,579,944,,5399,9827,,,39697,"01/07/2013","RJ"
2003,5,408,14,4,425,65,491,155,106,73,451,2241,9262,235,485,128,2,1,18,186,,1951,7401,1228,553,39,377,,4891,7087,,,31015,"01/05/2003","RJ"
2003,9,345,11,3,358,69,427,123,1013,81,254,2077,7298,183,385,127,1,1,18,161,,1879,653,1039,469,23,442,,4539,6511,,,29979,"01/09/2003","RJ"
2003,1,401,14,4,419,61,48,111,971,658,448,2077,9587,243,401,117,3,1,12,143,,1809,7008,1321,669,33,517,,4595,7136,,,3049,"01/01/2003","RJ"
2003,8,337,7,3,346,63,41,126,1004,701,235,194,7309,206,392,11,1,0,12,152,,1746,6258,1071,489,28,36,,4273,6221,,,28635,"01/08/2003","RJ"
2003,11,356,8,2,366,51,416,117,972,761,246,1979,6984,22,352,104,1,0,9,157,,1697,6156,1051,51,26,44,,439,6417,,,29649,"01/11/2003","RJ"
2003,6,372,1,1,382,59,441,161,97,655,367,1993,7835,212,438,95,3,0,21,167,,1692,645,1045,535,24,329,,4329,6263,,,30005,"01/06/2003","RJ"
2003,12,372,8,1,382,48,43,162,1067,768,204,2039,7642,277,366,123,3,1,13,189,,1832,6643,1002,622,15,409,,4679,6728,,,30832,"01/12/2003","RJ"
2004,4,346,14,1,361,46,406,147,1272,67,306,2248,8185,284,361,101,2,1,12,147,,1576,6679,1155,46,43,48,,4405,6544,,,30219,"01/04/2004","RJ"
2004,10,347,9,4,36,76,436,139,1508,258,503,2269,7621,271,314,94,4,3,6,13,,833,5749,1069,523,18,564,,408,6415,,,30932,"01/10/2004","RJ"
2004,6,338,9,1,347,5,398,128,1072,922,295,229,784,282,355,102,1,1,7,17,,1242,6326,1088,513,44,537,,4413,6595,,,30167,"01/06/2004","RJ"
2004,11,379,12,3,393,6,453,128,1516,29,476,2282,7321,284,344,118,2,1,9,151,,862,581,1015,506,211,514,,4339,6584,,,30893,"01/11/2004","RJ"
2004,12,362,5,1,368,43,411,172,1606,253,464,2323,7115,381,332,108,3,2,2,176,,815,5872,1007,647,22,56,,4427,6861,,,31518,"01/12/2004","RJ"
2004,2,364,11,3,378,44,421,12,963,724,272,196,6521,188,316,11,1,2,11,17,,1803,6103,1064,547,34,484,,4615,6745,,,28497,"01/02/2004","RJ"
2004,9,337,14,1,353,57,41,158,137,316,473,216,7268,234,363,81,1,0,3,11,,768,5458,994,467,198,584,,3977,6221,,,30914,"01/09/2004","RJ"
2005,1,403,13,4,419,48,467,146,1608,292,431,2331,7552,267,284,103,1,3,17,11,,865,5802,116,657,187,712,,45,7216,,,31368,"01/01/2005","RJ"
2005,5,371,13,4,387,61,449,18,20,412,59,3002,8147,237,307,98,1,2,17,108,,1029,6784,1274,678,255,812,,4185,7204,,,33031,"01/05/2005","RJ"
2005,2,41,8,3,421,39,46,122,1681,272,407,236,7157,279,288,97,4,3,13,103,,891,5767,1008,734,182,655,,4202,6781,,,29269,"01/02/2005","RJ"
2005,7,383,15,3,401,59,46,179,2007,403,556,2965,6593,232,296,109,1,5,13,84,,909,6225,1192,656,241,802,,4032,6923,,,30709,"01/07/2005","RJ"
2006,7,312,1,3,325,57,383,151,2545,458,603,3607,6804,223,244,1,4,0,14,119,,52,6545,1333,1066,3,1136,,3864,7699,,,33156,"01/07/2006","RJ"
2006,6,31,7,5,322,67,388,124,2491,474,583,3548,7122,222,26,88,3,0,7,92,,56,6571,1257,948,279,1072,,359,7147,,,31892,"01/06/2006","RJ"
2006,12,367,15,3,384,53,437,161,2621,393,54,3554,6856,287,254,82,1,2,8,107,,829,6878,1129,1214,347,1179,,4709,8576,,,33058,"01/12/2006","RJ"
2006,9,34,12,2,354,49,403,144,255,451,561,3562,7395,242,236,96,0,5,12,112,,521,666,1183,941,327,1063,,3567,7081,,,32185,"01/09/2006","RJ"
2006,5,358,9,3,37,58,428,15,2684,528,615,3828,8406,257,309,111,5,3,12,109,,542,7285,1292,968,341,1195,,3794,7589,,,3378,"01/05/2006","RJ"
2007,2,315,7,2,324,58,383,12,2726,348,494,3569,6497,201,205,84,1,4,5,93,,87,6703,1208,1541,278,104,,4566,8632,,,32118,"01/02/2007","RJ"
2007,7,295,6,2,304,52,356,189,2929,364,507,38,5629,218,261,85,1,2,7,138,,754,6745,1091,1222,364,875,,443,7982,,,32689,"01/07/2007","RJ"
2007,8,338,9,2,349,82,431,172,3391,413,589,4393,6043,221,25,94,1,3,1,136,,803,7504,116,127,396,944,,4628,8398,,,3452,"01/08/2007","RJ"
2007,4,371,1,2,382,85,467,162,3115,424,567,4105,6957,242,28,106,1,2,8,94,,824,7467,111,1138,327,898,,4436,7908,,,33398,"01/04/2007","RJ"
2008,1,346,7,3,356,7,426,129,3631,44,532,4603,5941,226,242,78,3,4,11,106,,873,775,1166,1608,38,1174,,5009,9337,,,35555,"01/01/2008","RJ"
2008,7,264,13,3,28,4,32,149,3783,445,47,4697,5088,165,256,64,4,1,6,105,,812,7522,1096,1485,424,1119,,4932,9055,,,34928,"01/07/2008","RJ"
2008,5,264,14,1,279,94,373,16,3652,416,548,4615,5257,193,264,73,3,1,1,126,,722,7449,114,135,433,1157,,4935,9016,,,34223,"01/05/2008","RJ"
2008,6,257,12,3,272,67,339,141,3549,466,493,4508,4874,144,26,75,1,3,12,99,,761,7206,1138,1296,431,1112,,4868,8845,,,33635,"01/06/2008","RJ"
2008,9,278,16,3,296,4,336,137,3589,509,508,4606,5259,144,251,85,5,2,6,136,,779,7488,1131,1369,408,1192,,4775,8874,,,34921,"01/09/2008","RJ"
2008,12,323,1,1,334,45,379,146,3727,45,489,4666,5263,191,278,94,3,3,9,117,,737,7584,1134,1488,454,1177,,488,9132,,,34954,"01/12/2008","RJ"
2008,11,329,15,1,345,52,397,165,3535,458,497,4491,5042,136,264,86,2,1,7,124,,734,7264,1206,1335,397,1083,,475,877,,,34883,"01/11/2008","RJ"
2009,3,373,19,3,395,65,461,152,4243,496,588,5326,5697,15,295,99,2,2,11,115,,915,8543,1161,1572,484,1201,,5055,9473,,,38981,"01/03/2009","RJ"
2009,7,251,11,2,264,55,319,104,3834,479,466,4779,4314,13,282,82,3,2,7,118,,68,7335,1049,1376,479,1141,,4784,8828,,,34901,"01/07/2009","RJ"
2009,12,3,16,6,322,47,368,118,3304,391,373,4068,388,169,242,94,1,1,6,96,,653,6483,1085,1675,479,1131,,4973,9343,,,3472,"01/12/2009","RJ"
2009,4,344,17,2,363,65,427,12,4038,451,488,4976,5109,143,285,85,3,4,6,121,,729,7818,1115,1354,436,1061,,4637,8603,,,3518,"01/04/2009","RJ"
2009,5,331,9,0,339,51,39,123,4121,506,494,5121,5149,149,265,86,0,8,11,121,,721,7964,1063,1495,469,1115,,4999,9142,,,36474,"01/05/2009","RJ"
2009,11,276,8,3,287,48,335,138,3363,401,394,4157,3598,141,241,91,2,1,5,116,,586,6405,993,1532,465,121,,4647,8847,,,35289,"01/11/2009","RJ"
2009,9,273,11,2,287,52,338,128,338,434,417,423,3722,137,268,93,2,2,9,95,,57,6496,1022,1415,471,1208,,4738,8854,,,34666,"01/09/2009","RJ"
2010,1,281,12,4,297,48,345,101,3329,391,357,4078,4104,147,235,77,1,3,6,87,,652,6509,1059,1647,443,1112,,5081,9342,,,35564,"01/01/2010","RJ"
2010,9,225,13,1,239,21,26,132,3249,369,419,4037,3006,132,257,84,3,3,2,94,,529,6072,88,1531,534,113,,4586,866,,,34346,"01/09/2010","RJ"
2010,3,309,11,3,322,51,373,117,3791,435,499,4725,4259,144,277,93,1,2,9,91,,691,7314,1076,1723,547,1227,,5187,976,,,37622,"01/03/2010","RJ"
2010,11,227,4,1,232,64,296,114,3071,323,403,3797,2822,166,211,67,1,2,4,86,,5,5714,822,1455,542,1068,,4513,84,,,33955,"01/11/2010","RJ"
2010,8,215,8,5,228,19,246,111,3231,34,435,4005,3164,115,226,75,1,1,6,101,,52,6025,1018,1491,546,1173,,476,8988,,,35395,"01/08/2010","RJ"
2011,9,2,5,2,208,14,222,145,2806,252,338,3397,3073,15,213,56,2,2,9,99,,57,5507,79,163,591,1006,,4769,8787,,,3508,"01/09/2011","RJ"
2011,7,205,4,1,21,23,233,136,2831,299,331,3461,3062,137,244,56,2,0,8,109,,51,5524,785,1606,557,1071,,4555,8573,,,34878,"01/07/2011","RJ"
2011,4,25,4,4,258,42,3,115,2909,307,371,3588,2898,148,257,65,1,1,8,11,,564,5668,803,1601,529,12,,5048,918,,,3643,"01/04/2011","RJ"
2011,1,265,6,3,273,38,311,111,297,314,383,3668,3093,144,255,57,2,1,2,86,,538,5729,886,1757,475,1268,,496,9346,,,36011,"01/01/2011","RJ"
2011,10,197,7,1,205,12,217,132,2563,246,317,3125,318,159,244,71,1,1,4,89,,544,5287,875,1482,571,993,,4631,8552,,,35061,"01/10/2011","RJ"
2012,7,184,9,3,196,3,226,14,2565,251,232,3048,3017,163,296,6,1,1,5,87,,511,5213,82,1525,527,961,,5193,9027,,,37771,"01/07/2012","RJ"
2012,8,181,7,1,188,27,215,135,2488,228,212,2929,3109,202,26,62,1,2,4,103,,566,5206,806,1571,547,1014,,513,9067,,,37509,"01/08/2012","RJ"
2012,3,243,1,1,255,23,279,104,27,251,296,3247,3701,215,296,91,0,1,4,108,,616,5829,884,1743,574,103,,5253,9484,,,38406,"01/03/2012","RJ"
2012,2,244,9,1,254,22,276,108,2801,234,283,3318,3638,178,282,67,2,1,4,9,,593,576,845,3317,537,1162,,5178,11039,,,37871,"01/02/2012","RJ"
2012,4,211,4,1,217,28,244,118,2645,23,259,3134,3756,184,272,75,1,1,7,89,,567,5604,871,1549,535,956,,4956,8867,,,35961,"01/04/2012","RJ"
2012,5,213,6,1,22,25,245,125,2884,253,305,3443,3702,211,281,91,1,1,7,96,,574,5967,847,1616,639,1063,,5424,9589,,,38331,"01/05/2012","RJ"
2013,11,252,8,1,262,19,28,115,3265,288,33,3884,4352,188,371,77,1,2,7,87,,671,6902,879,1533,512,837,,483,859,,,389,"01/11/2013","RJ"
2013,2,238,4,2,245,18,262,105,2868,228,258,3354,3285,158,277,72,1,4,6,83,,501,5627,807,2908,494,1059,,5495,10762,,,39345,"01/02/2013","RJ"
2013,1,244,7,1,252,18,269,107,267,213,248,3132,3362,206,3,77,0,2,5,95,,496,5507,867,2142,473,935,,5467,9884,,,37723,"01/01/2013","RJ"
2003,4,398,1,7,415,85,5,141,1041,685,425,2151,87,206,478,115,7,0,25,158,,1799,6957,1153,531,39,368,,4994,7085,,,30072,"01/04/2003","RJ"
2003,2,397,8,3,408,76,483,128,1043,655,47,2169,9349,302,49,116,8,0,14,159,,1824,7238,1179,584,36,441,,4795,7035,,,30905,"01/02/2003","RJ"
2011,11,21,6,1,217,2,238,127,2523,23,271,3024,2976,186,22,57,0,1,3,98,,537,5113,782,1475,514,986,,4648,8405,,,34077,"01/11/2011","RJ"
2012,9,204,8,0,212,9,221,111,2186,207,214,2607,3096,152,258,64,1,3,7,79,,512,4762,789,1374,484,885,,4657,819,,,3469,"01/09/2012","RJ"
