id_municipio,ano,mes,regiao,homicidio_doloso,vitimas_homicidio_doloso,homicidio_doloso_acidente_transito,vitimas_homicidio_doloso_acidente_transito,homicidio_culposo_acidente_transito,homicidio_culposo_outros,lesao_corporal_seguida_de_morte,latrocinio,vitimas_latrocinio,total_roubo_outros,roubo_outros,roubo_veiculo,roubo_banco,roubo_carga,furto_outros,furto_veiculo,data_referencia,UF
3552809,2002,9,"Grande São Paulo (exclui a Capital)",14,14,0,0,0,1,0,0,0,92,"",60,0,0,126,61,"01/09/2002","SP"
3552502,2002,7,"Grande São Paulo (exclui a Capital)",14,14,0,0,1,0,0,1,1,77,"",18,0,0,171,35,"01/07/2002","SP"
3552403,2002,4,"Piracicaba",14,16,0,0,3,0,0,0,0,89,"",65,0,1,140,24,"01/04/2002","SP"
3552205,2002,12,"Sorocaba",14,14,0,0,4,0,0,1,1,156,"",29,0,0,767,64,"01/12/2002","SP"
3551009,2002,1,"Santos",14,14,0,0,3,0,0,0,0,239,"",10,0,0,317,48,"01/01/2002","SP"
3551009,2002,5,"Santos",14,18,0,0,0,0,0,1,1,185,"",25,0,0,258,31,"01/05/2002","SP"
3549904,2002,6,"São José dos Campos",14,14,0,0,7,1,0,0,0,279,"",72,0,0,391,143,"01/06/2002","SP"
3548708,2002,4,"Grande São Paulo (exclui a Capital)",14,14,0,0,4,0,0,0,0,440,"",468,0,9,605,257,"01/04/2002","SP"
3543402,2002,6,"Ribeirão Preto",14,15,0,0,7,0,0,0,0,183,"",29,0,1,698,83,"01/06/2002","SP"
3529401,2002,10,"Grande São Paulo (exclui a Capital)",14,14,0,0,3,0,0,0,0,124,"",144,0,1,268,75,"01/10/2002","SP"
3523107,2002,7,"Grande São Paulo (exclui a Capital)",14,14,0,0,3,0,0,0,0,92,"",24,0,0,140,36,"01/07/2002","SP"
3518701,2002,7,"Santos",14,14,0,0,2,0,0,0,0,137,"",6,0,0,211,26,"01/07/2002","SP"
3518701,2002,10,"Santos",14,15,0,0,1,0,0,0,0,221,"",11,0,0,351,20,"01/10/2002","SP"
3513801,2002,7,"Grande São Paulo (exclui a Capital)",14,14,0,0,2,0,0,0,0,211,"",117,0,2,213,81,"01/07/2002","SP"
3549904,2006,3,"São José dos Campos",14,15,0,0,12,0,0,1,1,334,"",108,0,1,670,197,"01/03/2006","SP"
3510500,2006,5,"São José dos Campos",14,17,0,0,1,0,0,0,0,48,"",3,0,0,143,13,"01/05/2006","SP"
3509502,2006,9,"Campinas",14,13,0,0,10,0,0,2,2,781,"",439,5,18,1292,418,"01/09/2006","SP"
3548708,2005,3,"Grande São Paulo (exclui a Capital)",14,15,0,0,10,0,0,0,0,525,"",362,0,17,630,265,"01/03/2005","SP"
3548708,2005,8,"Grande São Paulo (exclui a Capital)",14,19,0,0,5,0,0,1,1,596,"",340,0,26,675,289,"01/08/2005","SP"
3523107,2005,1,"Grande São Paulo (exclui a Capital)",14,14,0,0,1,1,0,0,0,92,"",31,0,8,179,26,"01/01/2005","SP"
3510609,2005,2,"Grande São Paulo (exclui a Capital)",14,15,0,0,0,0,0,0,0,94,"",27,0,1,153,47,"01/02/2005","SP"
3510609,2005,7,"Grande São Paulo (exclui a Capital)",14,14,0,0,0,1,0,0,0,117,"",24,0,2,176,74,"01/07/2005","SP"
3510609,2005,10,"Grande São Paulo (exclui a Capital)",14,14,0,0,1,0,0,0,0,121,"",33,0,0,162,61,"01/10/2005","SP"
3509502,2005,7,"Campinas",14,15,0,0,9,0,0,0,0,718,"",347,1,15,1442,460,"01/07/2005","SP"
3513801,2005,2,"Grande São Paulo (exclui a Capital)",14,14,0,0,1,0,0,0,0,172,"",83,0,5,228,102,"01/02/2005","SP"
3547809,2010,1,"Grande São Paulo (exclui a Capital)",14,16,0,0,3,0,,0,0,613,"",221,1,10,638,292,"01/01/2010","SP"
3518800,2010,2,"Grande São Paulo (exclui a Capital)",14,14,0,0,5,1,,1,2,473,"",155,0,26,713,149,"01/02/2010","SP"
3548708,2009,9,"Grande São Paulo (exclui a Capital)",14,15,0,0,4,0,0,0,0,593,"",249,0,22,557,183,"01/09/2009","SP"
3552205,2003,4,"Sorocaba",14,15,0,0,2,0,0,1,1,179,"",44,0,0,758,95,"01/04/2003","SP"
3551009,2003,3,"Santos",14,14,0,0,4,0,0,0,0,187,"",11,0,2,341,77,"01/03/2003","SP"
3547809,2003,9,"Grande São Paulo (exclui a Capital)",14,14,0,0,3,0,0,1,1,565,"",474,0,2,696,373,"01/09/2003","SP"
3541000,2003,1,"Santos",14,14,0,0,4,0,0,0,0,268,"",18,0,0,468,145,"01/01/2003","SP"
3523107,2003,1,"Grande São Paulo (exclui a Capital)",14,15,0,0,2,0,0,0,0,129,"",21,0,2,152,22,"01/01/2003","SP"
3523107,2003,7,"Grande São Paulo (exclui a Capital)",14,15,0,0,2,2,0,0,0,120,"",34,0,2,216,43,"01/07/2003","SP"
3515004,2003,7,"Grande São Paulo (exclui a Capital)",14,16,0,0,2,0,0,0,0,74,"",35,0,3,101,14,"01/07/2003","SP"
3505708,2003,4,"Grande São Paulo (exclui a Capital)",14,15,0,0,0,0,0,0,0,111,"",18,0,1,178,46,"01/04/2003","SP"
3509502,2007,11,"Campinas",14,14,0,0,20,1,0,1,1,686,"",342,1,14,1339,326,"01/11/2007","SP"
3548708,2008,3,"Grande São Paulo (exclui a Capital)",14,14,0,0,3,0,0,1,1,542,"",259,1,23,676,169,"01/03/2008","SP"
3509502,2008,6,"Campinas",14,14,0,0,13,2,0,0,0,773,"",340,2,17,1355,370,"01/06/2008","SP"
3552205,2004,8,"Sorocaba",14,14,0,0,4,0,0,1,1,193,"",24,0,3,727,151,"01/08/2004","SP"
3549904,2004,8,"São José dos Campos",14,15,0,0,6,0,0,1,1,214,"",105,0,0,502,159,"01/08/2004","SP"
3548708,2004,10,"Grande São Paulo (exclui a Capital)",14,15,0,0,2,0,0,0,0,479,"",349,0,23,627,194,"01/10/2004","SP"
3547809,2004,4,"Grande São Paulo (exclui a Capital)",14,22,0,0,0,0,0,0,2,472,"",481,1,11,564,376,"01/04/2004","SP"
3518800,2013,3,"Grande São Paulo (exclui a Capital)",14,14,1,1,7,1,,1,1,624,"",228,1,40,917,191,"01/03/2013","SP"
3552205,2014,3,"Sorocaba",14,17,1,2,5,0,,0,0,202,"",78,0,1,626,248,"01/03/2014","SP"
3552205,2014,4,"Sorocaba",14,25,1,6,5,0,,0,0,240,"",96,1,0,626,246,"01/04/2014","SP"
3509502,2014,2,"Campinas",14,14,0,0,8,1,,0,0,636,"",369,0,19,1597,325,"01/02/2014","SP"
3509502,2014,12,"Campinas",14,14,0,0,11,1,,1,1,703,"",281,1,21,1534,300,"01/12/2014","SP"
3548708,2011,10,"Grande São Paulo (exclui a Capital)",14,14,,,4,0,,0,0,490,"",264,0,18,649,171,"01/10/2011","SP"
3518800,2011,7,"Grande São Paulo (exclui a Capital)",14,14,0,0,10,0,,0,0,685,"",235,1,15,894,183,"01/07/2011","SP"
3509502,2011,5,"Campinas",14,14,0,0,14,0,,0,0,786,"",432,1,9,1666,459,"01/05/2011","SP"
3543402,2012,10,"Ribeirão Preto",14,16,0,0,10,0,,0,0,323,"",63,0,0,1078,248,"01/10/2012","SP"
3509502,2012,11,"Campinas",14,14,0,0,16,1,,0,0,786,"",453,1,23,1523,506,"01/11/2012","SP"
3509502,2020,4,"Campinas",14,14,0,0,6,0,1,1,1,341,"325",109,0,16,573,169,"01/04/2020","SP"
3509502,2018,6,"Campinas",14,14,0,0,5,0,1,0,0,633,"613",304,1,19,1262,371,"01/06/2018","SP"
3509502,2015,6,"Campinas",14,16,0,0,7,0,,2,2,664,"",183,2,12,1614,311,"01/06/2015","SP"
3534401,2017,7,"Grande São Paulo (exclui a Capital)",14,15,0,0,1,0,1,2,2,791,"768",139,0,23,479,236,"01/07/2017","SP"
3509502,2019,6,"Campinas",14,14,0,0,5,0,0,1,2,501,"487",206,0,14,1283,262,"01/06/2019","SP"
